Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,00000000;6,00146500;5,24765800;5,50004600;0,00610370
0,00200000;6,00146500;5,24765800;5,49455300;-0,00427259
0,00400000;6,00665300;5,23697600;5,50004600;-0,00427259
0,00600000;5,99597200;5,25833900;5,49455300;0,00091556
0,00800000;5,99597200;5,24765800;5,49455300;0,00091556
0,01000000;5,99078300;5,25833900;5,48936400;0,00091556
0,01200000;5,99597200;5,24765800;5,49455300;0,00091556
0,01400000;5,99597200;5,24765800;5,50523400;0,00091556
0,01600000;6,00146500;5,25315100;5,48936400;-0,00427259
0,01800000;6,00146500;5,25833900;5,50523400;0,01129185
0,02000000;6,00146500;5,25315100;5,49455300;0,00091556
0,02200000;5,99597200;5,25315100;5,50004600;0,00091556
0,02400000;6,00146500;5,24765800;5,50004600;-0,00427259
0,02600000;6,00665300;5,24765800;5,50004600;-0,00427259
0,02800000;6,01214600;5,25833900;5,50523400;-0,00427259
0,03000000;5,99078300;5,25833900;5,50523400;-0,00946074
0,03200000;5,99597200;5,26383300;5,49455300;0,00610370
0,03400000;6,00146500;5,24247000;5,51072700;0,00610370
0,03600000;6,00146500;5,24765800;5,50004600;-0,00427259
0,03800000;6,00665300;5,25315100;5,51072700;0,00091556
0,04000000;5,99078300;5,24247000;5,51072700;0,00610370
0,04200000;6,00146500;5,25315100;5,50004600;-0,00427259
0,04400000;5,99597200;5,24765800;5,50004600;0,00091556
0,04600000;6,00665300;5,25833900;5,49455300;0,00610370
0,04800000;6,00146500;5,24765800;5,50004600;-0,00427259
0,05000000;6,00146500;5,25315100;5,49455300;0,00091556
0,05200000;6,00665300;5,26383300;5,49455300;-0,00427259
0,05400000;5,99597200;5,25833900;5,50004600;0,00091556
0,05600000;5,99078300;5,24765800;5,49455300;0,00091556
0,05800000;6,00146500;5,24247000;5,50004600;-0,00427259
0,06000000;6,00146500;5,24765800;5,50004600;0,00610370
0,06200000;5,99597200;5,23697600;5,50523400;0,01129185
0,06400000;6,00665300;5,25315100;5,49455300;0,01129185
0,06600000;6,00146500;5,25833900;5,50523400;0,00610370
0,06800000;6,00146500;5,24765800;5,51072700;0,00091556
0,07000000;5,99597200;5,26383300;5,50523400;0,00091556
0,07200000;5,99597200;5,25315100;5,50004600;0,01129185
0,07400000;6,00665300;5,24247000;5,50004600;0,00091556
0,07600000;6,00146500;5,25315100;5,48936400;0,01129185
0,07800000;6,01214600;5,24765800;5,50004600;-0,00427259
0,08000000;6,00665300;5,25315100;5,49455300;0,00091556
0,08200000;5,99597200;5,25315100;5,49455300;0,00091556
0,08400000;6,00146500;5,23697600;5,50523400;0,00091556
0,08600000;6,00665300;5,24765800;5,49455300;0,00091556
0,08800000;6,01733400;5,25315100;5,49455300;-0,00427259
0,09000000;6,00665300;5,24247000;5,49455300;-0,00946074
0,09200000;6,00146500;5,25315100;5,49455300;-0,00427259
0,09400000;5,99597200;5,26383300;5,48936400;-0,00427259
0,09600000;6,00146500;5,24247000;5,49455300;-0,00427259
0,09800000;5,99597200;5,23697600;5,50004600;0,00091556
0,10000000;5,99078300;5,23697600;5,50523400;0,00091556
0,10200000;6,00665300;5,25315100;5,50523400;0,00091556
0,10400000;6,00146500;5,24247000;5,49455300;0,00091556
0,10600001;6,00146500;5,24765800;5,50523400;-0,00946074
0,10800001;5,99597200;5,25315100;5,50004600;-0,01464888
0,11000001;6,00146500;5,25315100;5,50523400;-0,00946074
0,11200001;6,00146500;5,25315100;5,48936400;0,00610370
0,11400001;6,00146500;5,24247000;5,50004600;0,01129185
0,11600001;6,01214600;5,24247000;5,49455300;0,00091556
0,11800001;6,00665300;5,24765800;5,51072700;0,00091556
0,12000001;5,99597200;5,24247000;5,48936400;0,00610370
0,12200001;6,01214600;5,25315100;5,48936400;0,00610370
0,12400001;5,98529000;5,25315100;5,50523400;0,00610370
0,12600001;6,00665300;5,25315100;5,50004600;0,00091556
0,12800001;6,00665300;5,25315100;5,50004600;0,00091556
0,13000001;5,99078300;5,24765800;5,48936400;0,00610370
0,13200001;6,00665300;5,25833900;5,49455300;0,01129185
0,13400001;6,01214600;5,25315100;5,49455300;0,00091556
0,13600001;6,00146500;5,24765800;5,49455300;0,00091556
0,13800001;5,99597200;5,24765800;5,50004600;0,00091556
0,14000001;6,00665300;5,25315100;5,49455300;-0,00427259
0,14200001;6,00665300;5,24247000;5,48387100;0,00610370
0,14400001;6,00665300;5,24765800;5,49455300;0,00610370
0,14600001;5,99597200;5,25833900;5,50004600;0,00610370
0,14800001;6,00665300;5,25315100;5,49455300;0,00610370
0,15000001;5,99078300;5,25315100;5,50523400;-0,00427259
0,15200001;5,99597200;5,25833900;5,49455300;0,00091556
0,15400001;5,99597200;5,24765800;5,49455300;-0,00427259
0,15600001;5,99597200;5,24765800;5,50004600;-0,00427259
0,15800001;6,00665300;5,25833900;5,50004600;0,00610370
0,16000001;6,00146500;5,25315100;5,49455300;-0,00427259
0,16200001;6,00146500;5,25315100;5,49455300;0,00091556
0,16400001;5,99597200;5,25315100;5,50004600;0,00610370
0,16600001;5,99078300;5,24247000;5,50004600;0,01129185
0,16800001;6,00146500;5,25315100;5,50004600;-0,00427259
0,17000001;5,99597200;5,24765800;5,50004600;0,00091556
0,17200001;5,99597200;5,24247000;5,49455300;0,00610370
0,17400001;6,00146500;5,24765800;5,50004600;0,00091556
0,17600001;6,00146500;5,25315100;5,50004600;0,00091556
