Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,00000000;5,00045800;4,13342700;7,00125100;-0,06775109
0,00200000;4,98428300;4,12823900;6,99575800;-0,08362071
0,00400000;4,99496500;4,13342700;6,99575800;-0,04638813
0,00600000;5,00045800;4,13342700;7,00125100;0,03265481
0,00800000;5,00045800;4,13861500;7,00643900;0,05920591
0,01000000;4,99496500;4,12823900;7,00643900;0,08026368
0,01200000;4,99496500;4,13342700;7,00125100;0,09094515
0,01400000;5,00564600;4,13342700;7,00125100;0,04333628
0,01600000;4,99496500;4,13342700;7,00643900;-0,02014222
0,01800000;5,01632700;4,14410800;7,00125100;-0,06225776
0,02000000;5,00045800;4,13861500;6,99575800;-0,07843257
0,02200000;4,99496500;4,13342700;7,00125100;-0,08880886
0,02400000;5,00045800;4,14410800;6,99575800;-0,05188147
0,02600000;5,00564600;4,13342700;6,99057000;0,03784295
0,02800000;4,99496500;4,13861500;6,99575800;0,06439406
0,03000000;5,00045800;4,13342700;6,99575800;0,08026368
0,03200000;5,00564600;4,13342700;7,00125100;0,10681480
0,03400000;5,00564600;4,13861500;6,99575800;0,04852443
0,03600000;5,00045800;4,14410800;6,99575800;-0,03601184
0,03800000;5,01632700;4,13342700;7,00125100;-0,05706961
0,04000000;5,00564600;4,14410800;7,00125100;-0,08362071
0,04200000;5,01113900;4,13861500;6,99575800;-0,08880886
0,04400000;4,98977600;4,14410800;7,00125100;-0,04638813
0,04600000;4,99496500;4,14410800;7,00125100;0,03784295
0,04800000;5,00564600;4,12823900;6,99575800;0,06439406
0,05000000;5,00045800;4,12823900;6,99575800;0,07507554
0,05200000;5,00564600;4,13861500;7,00125100;0,08545183
0,05400000;5,00045800;4,14410800;6,99575800;0,04333628
0,05600000;4,99496500;4,13861500;7,00643900;-0,03051851
0,05800000;5,00564600;4,13342700;7,00643900;-0,05188147
0,06000000;5,00564600;4,13861500;6,99575800;-0,07843257
0,06200000;5,01113900;4,13342700;6,99575800;-0,08880886
0,06400000;5,01113900;4,13861500;7,00125100;-0,04119999
0,06600000;5,00045800;4,12823900;7,00125100;0,03265481
0,06800000;4,99496500;4,13342700;7,00125100;0,05920591
0,07000000;5,00564600;4,13861500;6,99575800;0,07507554
0,07200000;5,00045800;4,13861500;6,99575800;0,09094515
0,07400000;5,00045800;4,13342700;6,99575800;0,04852443
0,07600000;4,98977600;4,13861500;7,00643900;-0,03051851
0,07800000;5,00045800;4,13861500;6,99057000;-0,05188147
0,08000000;5,00045800;4,12823900;7,00643900;-0,07293924
0,08200000;5,00045800;4,12823900;7,01193300;-0,09430219
0,08400000;5,01113900;4,13342700;7,01712100;-0,04638813
0,08600000;4,99496500;4,13342700;6,99575800;0,03265481
0,08800000;4,98977600;4,13342700;6,99575800;0,06439406
0,09000000;5,00045800;4,12823900;6,99575800;0,07507554
0,09200000;5,00564600;4,13861500;6,98507600;0,09094515
0,09400000;5,00564600;4,12823900;7,00643900;0,05920591
0,09600000;4,98977600;4,13861500;7,00125100;-0,03051851
0,09800000;4,99496500;4,13861500;7,00125100;-0,05188147
0,10000000;5,00564600;4,13342700;6,99575800;-0,08362071
0,10200000;5,00045800;4,13342700;7,00643900;-0,07843257
0,10400000;5,00564600;4,14410800;7,00125100;-0,04638813
0,10600001;5,00045800;4,13342700;7,00125100;0,03265481
0,10800001;5,00045800;4,13342700;7,00643900;0,06439406
0,11000001;5,00045800;4,13861500;7,00643900;0,06958220
0,11200001;4,99496500;4,12823900;6,99575800;0,08545183
0,11400001;4,98977600;4,13342700;7,01193300;0,04852443
0,11600001;5,00045800;4,14410800;7,00125100;-0,03051851
0,11800001;5,01113900;4,13861500;7,00125100;-0,06225776
0,12000001;4,98977600;4,13342700;6,99057000;-0,07293924
0,12200001;5,00564600;4,13342700;7,00125100;-0,08880886
0,12400001;5,00564600;4,13861500;6,99575800;-0,04638813
0,12600001;4,99496500;4,12823900;6,99575800;0,02197333
0,12800001;4,98977600;4,12274600;6,99575800;0,05371258
0,13000001;4,99496500;4,13861500;6,99057000;0,08026368
0,13200001;4,99496500;4,13861500;6,99575800;0,08545183
0,13400001;5,00045800;4,12274600;7,00125100;0,04333628
0,13600001;5,00564600;4,14410800;7,00125100;-0,03051851
0,13800001;5,01113900;4,14410800;7,00125100;-0,05706961
0,14000001;5,00564600;4,13342700;7,00125100;-0,07843257
0,14200001;5,00564600;4,12823900;7,00125100;-0,08362071
0,14400001;5,00045800;4,12823900;6,99575800;-0,04119999
0,14600001;4,99496500;4,14410800;7,00125100;0,03784295
0,14800001;5,01113900;4,14929700;7,00643900;0,06439406
0,15000001;4,99496500;4,13861500;7,00125100;0,10132150
0,15200001;5,00564600;4,13342700;6,99575800;0,08026368
0,15400001;4,99496500;4,12823900;7,00643900;0,03784295
0,15600001;5,01632700;4,12823900;6,99575800;-0,03601184
0,15800001;5,00045800;4,13342700;7,00125100;-0,04638813
0,16000001;5,00045800;4,14410800;6,99057000;-0,08362071
0,16200001;5,00045800;4,13342700;6,99057000;-0,08362071
0,16400001;5,01113900;4,13861500;7,00125100;-0,04119999
0,16600001;5,00564600;4,13861500;6,99575800;0,03265481
0,16800001;5,00045800;4,13861500;6,99057000;0,05371258
0,17000001;5,00045800;4,13342700;7,00125100;0,09094515
0,17200001;5,00045800;4,13861500;7,00643900;0,09094515
0,17400001;4,99496500;4,14410800;6,99575800;0,04852443
